FORECAST_WEEK,STATE_NAME,FORECAST_CASES,FORECAST_DEATHS,FORECAST_IND
3/12/2022,WYOMING,318.3506255,8.003482851,0
3/19/2022,ALABAMA,2176.993022,205.6987531,0
3/19/2022,ARIZONA,5077.597455,450.206771,0
3/19/2022,ARKANSAS,3501.459394,185.7360957,0
3/19/2022,CALIFORNIA,29084.10668,756.9464069,0
3/19/2022,COLORADO,5704.359585,47.32657477,0
3/19/2022,CONNECTICUT,2162.080576,67.12621619,0
3/19/2022,DELAWARE,566.0469342,79.30129833,0
3/19/2022,DISTRICT OF COLUMBIA,522.7491392,0.988183628,0
3/19/2022,FLORIDA,0,2807.622745,0
3/19/2022,GEORGIA,5749.141586,309.3169429,0
3/19/2022,HAWAII,1000.369197,14.0092004,0
3/19/2022,IDAHO,3935.980131,14.75313754,0
3/19/2022,ILLINOIS,7440.710518,123.586155,0
3/19/2022,INDIANA,2089.974916,115.6568294,0
3/19/2022,IOWA,1003.616233,86.94194966,0
3/19/2022,KANSAS,519.3631141,139.1285323,0
3/19/2022,KENTUCKY,9525.611483,282.9519721,0
3/19/2022,LOUISIANA,1199.901183,109.2421669,0
3/19/2022,MAINE,1401.709418,36.95027141,0
3/19/2022,MARYLAND,2098.816716,50.87346821,0
3/19/2022,MASSACHUSETTS,4445.638184,56.8454992,0
3/19/2022,MICHIGAN,6605.333895,228.9518185,0
3/19/2022,MINNESOTA,3069.077558,56.62932009,0
3/19/2022,MISSISSIPPI,987.5567835,69.13975563,0
3/19/2022,MISSOURI,1617.984119,267.8151686,0
3/19/2022,MONTANA,460.3099422,10.97545401,0
3/19/2022,NEBRASKA,608.5020054,0,0
3/19/2022,NEVADA,16054.21687,27.55618601,0
3/19/2022,NEW HAMPSHIRE,929.2930659,19.95269917,0
3/19/2022,NEW JERSEY,6778.333466,64.98136417,0
3/19/2022,NEW MEXICO,1045.516441,95.09031079,0
3/19/2022,NEW YORK,14974.64536,156.4420689,0
3/19/2022,NORTH CAROLINA,8197.305901,134.8766075,0
3/19/2022,NORTH DAKOTA,286.2409263,5.995071684,0
3/19/2022,OHIO,2506.885515,83.84138143,0
3/19/2022,OKLAHOMA,2942.765242,215.5148109,0
3/19/2022,OREGON,1814.406728,100.8152993,0
3/19/2022,PENNSYLVANIA,5117.010948,177.2300334,0
3/19/2022,RHODE ISLAND,1511.154647,4.990530675,0
3/19/2022,SOUTH CAROLINA,603.5926676,7.863195785,0
