calendar_date,age_group,boosted_death,vaccinated_death,unvaccinated_death
12/31/2021,12-17,0,0,1.78655971129195
10/8/2021,65+,83.9753887514505,157.129014529965,1966.8025769013
11/26/2021,18-49,5.33998915057974,2.51776180659093,64.3271276988394
2/25/2022,50-64,6.26164362903615,18.659931441498,113.454678505941
12/3/2021,18-49,0,3.54007471388719,75.1895031301153
12/17/2021,50-64,13.2251122929828,33.4365247455139,632.045682980195
2/11/2022,all_ages,46.4898742899982,60.2754266775536,261.235525188473
12/10/2021,65+,46.2729167732649,292.178468970699,3364.17510489424
1/28/2022,65+,257.670432513802,800.782189655362,5458.38809182627
11/19/2021,50-64,15.3172647371233,25.3120124699521,537.885505697211
1/14/2022,18-49,7.19190267463075,13.8369182737199,91.7433804619665
2/4/2022,12-17,0,1.65270633045323,0.952706024051796
12/24/2021,50-64,15.9659847197339,43.6122209540873,638.987524730771
11/12/2021,65+,25.6502242152466,207.657256851252,2095.53430876385
11/5/2021,65+,41.6999464316073,176.699994277742,1813.64300643516
10/29/2021,50-64,18.4892701787272,15.5079695926184,365.727570021626
9/24/2021,50-64,28.7271391360313,23.7064429661796,711.527483404915
10/15/2021,65+,49.6971687383957,150.923834923048,1810.51057863201
1/21/2022,50-64,51.1761361090016,126.193271125576,823.826246513054
10/22/2021,18-49,5.37182313478937,2.22605463112078,55.5845745780043
1/7/2022,all_ages,139.958873206526,224.417604687502,778.169210282204
10/1/2021,18-49,44.1467369618555,3.85957135192342,81.1861777972246
2/18/2022,50-64,10.4486886501048,25.0166744968648,179.781380808796
12/31/2021,all_ages,86.2768246119121,146.987471499591,559.702826780564
10/8/2021,all_ages,60.2122034816192,45.5701580275026,338.89721191508
11/26/2021,50-64,19.6202352541669,30.554820416981,522.999902157815
2/25/2022,all_ages,21.1228004736029,21.6533432320045,100.527973774241
12/3/2021,all_ages,27.9548691568448,62.5429591561044,480.607055051974
12/17/2021,65+,58.1303011461012,239.840023928491,2971.77027200563
2/11/2022,65+,127.306993285134,335.340867735863,2594.62007265404
12/10/2021,all_ages,25.7367219137298,60.9897199831726,496.952770220871
1/28/2022,50-64,37.0353769135364,98.3260201878565,653.973425455196
11/19/2021,65+,38.8122021518621,236.072028281207,2523.24883152798
1/14/2022,all_ages,146.098736072809,225.041065368822,793.834935166665
2/4/2022,all_ages,66.0247321233289,101.400382211273,386.362133651037
12/24/2021,18-49,1.69019065350572,4.78240528570235,67.0053872001575
11/12/2021,all_ages,16.7753504186732,50.1676386234861,322.905870244567
11/5/2021,18-49,6.382662724145,1.98221829107176,53.1589107429782
10/29/2021,18-49,0,2.33559468305464,52.4050431615461
9/24/2021,18-49,0,4.05090887664614,96.954687375618
10/15/2021,18-49,0,2.3553159957617,61.0026852726595
1/21/2022,18-49,8.31542319107563,13.3484549703028,70.3975633313028
10/22/2021,50-64,24.4652231557691,17.539865611815,395.212672580262
1/7/2022,65+,314.387928210046,1224.07020682707,7151.5711599389
10/1/2021,all_ages,66.2491199557748,50.7926122241087,383.574330790932
2/18/2022,18-49,1.70425970427052,2.61701715404417,13.6935801128098
12/31/2021,65+,187.417295073052,775.905456079981,4893.78108762106
10/8/2021,50-64,39.9976155267667,20.8286395941702,485.685552496003
11/26/2021,65+,37.422343162261,254.970082042728,2413.27967994367
2/25/2022,65+,59.2372800272142,117.681097456313,970.744645280617
12/3/2021,65+,49.622876331287,288.827226568296,3241.47379804602
12/17/2021,all_ages,30.6206170970346,51.7625818054188,439.698138176761
2/11/2022,50-64,13.6664780712161,37.1774541121886,276.350061702718
12/10/2021,50-64,11.4655726494434,32.2134500471887,734.746261247218
1/28/2022,18-49,5.12783880885235,10.4656316945948,57.138203926161
11/19/2021,all_ages,26.1451959323565,54.9576955728029,382.865208591002
1/14/2022,12-17,0,3.00623736440858,3.67892337722336
2/4/2022,65+,177.048525637179,549.465705776464,3809.21234127967
12/24/2021,all_ages,35.7176871716359,68.9809510430251,458.567427538458
11/12/2021,50-64,6.15160391242009,21.3179843845764,448.528498985624
11/5/2021,50-64,8.69135010095337,21.4252788726871,432.830223975053
10/29/2021,all_ages,25.0730530284844,43.3097547221886,271.333257728415
9/24/2021,all_ages,49.4924642964218,59.4854661944062,447.847622255222
10/15/2021,50-64,48.7111615470879,18.5030181186419,469.404152746649
1/21/2022,12-17,0,1.53167413750546,2.80018021672677
10/22/2021,65+,33.0524580646938,155.501263447766,1692.3466713575
1/7/2022,50-64,60.6095981961761,154.773224075925,1012.8870760967
10/1/2021,65+,87.0310023332972,170.398128621108,2133.79258106884
2/18/2022,12-17,0,0,1.93486536220773
12/31/2021,50-64,33.6191839468397,106.72743559376,802.556851472729
10/8/2021,18-49,12.2358699232905,1.66273005429111,68.8531995647562
11/26/2021,all_ages,26.1122032572096,57.4698860127966,366.923297497547
2/25/2022,18-49,0.556685251924967,0.8229078817294,11.2334902527905
12/3/2021,50-64,9.88752559347971,32.1685765906579,694.916859283832
12/17/2021,18-49,2.075392352259,3.33258448779532,71.7777038377299
2/11/2022,18-49,1.75120260471181,5.3474424376335,24.4882657075581
12/10/2021,18-49,1.67501840507002,2.12415406585555,73.877811012362
1/28/2022,all_ages,100.972183800373,144.982948580485,562.537360119294
11/19/2021,18-49,3.44795461696042,3.19520853446572,66.5472868063285
1/14/2022,65+,352.137965849184,1266.26794107877,7607.04805040755
2/4/2022,50-64,20.2399496935452,77.0927957010503,434.520468219603
12/24/2021,65+,72.0544502786299,327.602767537149,3203.84295101708
11/12/2021,18-49,2.31802914030094,2.22713830693442,57.3713088842506
